Dataset,Seed,Analysis Type,Model,AUROC Score,AUROC std,RMSE,Spearman,avgp,avgp_std,davgp,davgp_std
ames,0,Classification,Barlow Closed (Text),0.7169561319355595,0.0074667089492367,,,0.7003658158447796,0.0099780165287065,0.1511899916689554,0.0067490505269685
ames,0,Classification,Grande Closed (Text),0.6826798530282814,0.0075730373687239,,,0.673719963082086,0.0095310143280448,0.1245441389062618,0.0066068041008482
ames,0,Classification,CLAMP,0.7437150933784991,0.0072060528852646,,,0.7204987695870467,0.0095562795518375,0.1713229454112225,0.0068103527171809
ames,0,Classification,coati2,0.7440652074971061,0.0072495320921615,,,0.7214381195867757,0.0089035592113207,0.1722622954109515,0.0063904045903252
ames,1,Classification,Barlow Closed (Text),0.6985156480152629,0.0077196832402184,,,0.6851050930246836,0.0098642927550077,0.1363279564487012,0.006471593656052
ames,1,Classification,Grande Closed (Text),0.6615141957760026,0.0079721410943265,,,0.6563873842589247,0.0096918777271297,0.1076102476829423,0.006212430149764
ames,1,Classification,CLAMP,0.7269636183873862,0.0073701524379197,,,0.7092722596669139,0.009462192747317,0.1604951230909315,0.0066335134487892
ames,1,Classification,coati2,0.7284529107912783,0.0075360936919813,,,0.7032013504960019,0.0087116980706097,0.1544242139200194,0.0068408044925455
ames,2,Classification,Barlow Closed (Text),0.7124467076419242,0.0074078448108248,,,0.6933585967922444,0.0093588843049422,0.1421082532912826,0.006384094355367
ames,2,Classification,Grande Closed (Text),0.6700779474192242,0.0080839270985775,,,0.6583642663008851,0.0097048677823384,0.1071139227999232,0.0063998177929308
ames,2,Classification,CLAMP,0.7195118563476747,0.0075137259504387,,,0.6981136407908852,0.0094044254066396,0.1468632972899234,0.0066877357294749
ames,2,Classification,coati2,0.735624418843897,0.0071974420649036,,,0.7148424739831639,0.0090236941557103,0.1635921304822021,0.0071326369620946
ames,3,Classification,Barlow Closed (Text),0.7032031898865985,0.0073030743769782,,,0.6784580827849233,0.0094732186857433,0.1438996625984174,0.0067451865208575
ames,3,Classification,Grande Closed (Text),0.6654635757484687,0.0077017417594265,,,0.648349984967977,0.0101816756949138,0.1137915647814712,0.006429476442472
ames,3,Classification,CLAMP,0.7317020075568723,0.007242085211994,,,0.7047075405373471,0.0095746087048044,0.1701491203508413,0.0075891387560424
ames,3,Classification,coati2,0.729497743429763,0.0073338353130953,,,0.6963273975641127,0.0092821176451801,0.1617689773776068,0.006897355517712
ames,4,Classification,Barlow Closed (Text),0.7074054027965471,0.007751982113377,,,0.6727141662990449,0.0095217848007835,0.1464755266039408,0.0070426086674841
