Dataset,Model,AUROC Score,AUROC std,RMSE,Spearman,avgp,avgp_std,davgp,davgp_std
ames,Autoreg Only,0.6227098412012702,0.007784283655689279,,,0.6177095394741914,0.00990564569903224,0.07742491456460773,0.00589713992910691
ames,Barlow Closed (Text),0.7057711740210891,0.007627647303380861,,,0.6824958791554916,0.00960705803414069,0.14221125424590791,0.006743845584147409
ames,CLAMP,0.729508726783637,0.0073131150191617506,,,0.7021984795783629,0.00949183692004287,0.1619138546687793,0.00704905464206757
ames,Grande Closed (Text),0.6646002015783592,0.0077364851106698895,,,0.649510877025265,0.009716295271198461,0.10922625211568142,0.006398748168458181
ames,coati2,0.7294294854714921,0.007427873467184,,,0.699742150534657,0.00931487799955008,0.15945752562507334,0.006912478962784879
bace_classification,Autoreg Only,0.6661274207215873,0.017219433975452437,,,0.5640551832363945,0.0231725859950399,0.1149440565455872,0.015246360959846687
bace_classification,Barlow Closed (Text),0.7291081783116801,0.01636722874384221,,,0.6260452052493533,0.02363865493540014,0.1778216341826454,0.01743685791848216
bace_classification,CLAMP,0.6861228589392736,0.0170204051338301,,,0.5812367871652407,0.02318935486322599,0.13301321609853284,0.01547976626162676
bace_classification,Grande Closed (Text),0.7156640363422279,0.0164308506937669,,,0.6109314871317271,0.02343169149012774,0.16270791606501928,0.01676061153420694
bace_classification,coati2,0.7483023653043259,0.015567428844712938,,,0.6459751180586545,0.02307991688672653,0.19775154699194658,0.01756563801547914
bace_regression,Autoreg Only,,,0.7762819131152405,,,,,
bace_regression,Barlow Closed (Text),,,0.7175741007348061,,,,,
bace_regression,CLAMP,,,0.8236273614022209,,,,,
bace_regression,Grande Closed (Text),,,0.6935361906417097,,,,,
bace_regression,coati2,,,0.7037222320757445,,,,,
bioavailability_ma,Autoreg Only,0.5649414053736757,0.032019568461053846,,,0.7916698572511727,0.02472686815291079,0.02455446736679543,0.012708544523734568
bioavailability_ma,Barlow Closed (Text),0.5827536116517816,0.0322268130006938,,,0.7982348270788328,0.02501905974106608,0.03111943719445549,0.01286178896738131
bioavailability_ma,CLAMP,0.5609929396887601,0.03241165263550891,,,0.7898131186209024,0.025366745864396512,0.022697728736525192,0.012431778206407609
bioavailability_ma,Grande Closed (Text),0.5886138045760018,0.03257830833379382,,,0.8010343764507342,0.02483672478178843,0.03391898656635691,0.0134776673241556
bioavailability_ma,coati2,0.6130993027185442,0.03130925895186046,,,0.8103591362712587,0.023891516462046132,0.043243746386881346,0.013475573211823869
caco2_wang,Autoreg Only,,,0.7091493184294851,,,,,
caco2_wang,Barlow Closed (Text),,,0.617642507016433,,,,,
caco2_wang,CLAMP,,,0.6628574952065115,,,,,
caco2_wang,Grande Closed (Text),,,0.5797916185805454,,,,,
caco2_wang,coati2,,,0.5432224648363265,,,,,
clearance_hepatocyte_az,Autoreg Only,,,,0.13879744126067256,,,,
clearance_hepatocyte_az,Barlow Closed (Text),,,,0.3175572496566146,,,,
clearance_hepatocyte_az,CLAMP,,,,0.27118179065921344,,,,
clearance_hepatocyte_az,Grande Closed (Text),,,,0.3390120191335935,,,,
clearance_hepatocyte_az,coati2,,,,0.37409745899827923,,,,
clearance_microsome_az,Autoreg Only,,,,0.17937259667389266,,,,
clearance_microsome_az,Barlow Closed (Text),,,,0.40226511551622296,,,,
clearance_microsome_az,CLAMP,,,,0.33578330602809225,,,,
clearance_microsome_az,Grande Closed (Text),,,,0.46046534569047975,,,,
clearance_microsome_az,coati2,,,,0.4453687142083612,,,,
clintox,Autoreg Only,0.6445815560328749,0.03402313688123854,,,0.11255406622649886,0.01867212663146392,0.03812678773899927,0.01314348114957796
clintox,Barlow Closed (Text),0.6409431275228158,0.03410758994475137,,,0.132528566847244,0.02656951123739021,0.058101288359744444,0.021927860561367852
clintox,CLAMP,0.630646522302077,0.03341666900170463,,,0.12510863085247517,0.024757104780549998,0.05068135236497556,0.02092911333439021
clintox,Grande Closed (Text),0.6435674877602322,0.03464294638618135,,,0.11944962987825339,0.02156512828678653,0.04502235139075378,0.01646135353519598
clintox,coati2,0.6587642488460633,0.03287674536990815,,,0.166708977556995,0.03628439119071146,0.09228169906949542,0.03214483162264318
cyp2c9_veith,Autoreg Only,0.6430469844068505,0.00652039563735126,,,0.43120296799439223,0.00842827530050884,0.09016107214480026,0.00531981732835368
cyp2c9_veith,Barlow Closed (Text),0.7709130707945554,0.00567177973873886,,,0.5644747800188645,0.00933847451365965,0.22343288416927248,0.006990506621544509
cyp2c9_veith,CLAMP,0.8289152919074659,0.00510429231147481,,,0.6496066010046551,0.009529348583153071,0.308564705155063,0.00755162995673737
cyp2c9_veith,Grande Closed (Text),0.7610729127789909,0.0058339913755711004,,,0.5517761241716148,0.009290431076916381,0.21073422832202282,0.006796296032810881
cyp2c9_veith,coati2,0.7869824025763938,0.00552452568602596,,,0.5889026606299643,0.00968933405811081,0.24786076478037242,0.007357374530475649
cyp3a4_veith,Autoreg Only,0.668408187545355,0.00602997027949734,,,0.5351335966802682,0.008369567438413671,0.11543505462418673,0.00530234548207225
cyp3a4_veith,Barlow Closed (Text),0.760454611296557,0.0054129139238472904,,,0.6271040098071088,0.00840255083872612,0.20740546775102744,0.0060813330387595
cyp3a4_veith,CLAMP,0.8083923701212496,0.00504664334128986,,,0.6877418337089035,0.008241463478300159,0.2680432916528221,0.00653902785782136
cyp3a4_veith,Grande Closed (Text),0.7482837273676709,0.005522350586843141,,,0.6129655371125031,0.00843346878368505,0.19326699505642161,0.00604536067093029
cyp3a4_veith,coati2,0.7847703536957579,0.005406296643814789,,,0.6586261667658315,0.00841050356331311,0.23892762470975012,0.0065218356278781905
delaney,Autoreg Only,,,0.8344613167713965,,,,,
delaney,Barlow Closed (Text),,,0.7425130133638967,,,,,
delaney,CLAMP,,,0.6426830970904767,,,,,
delaney,Grande Closed (Text),,,0.6449700109593401,,,,,
delaney,coati2,,,0.6071768230944483,,,,,
dili,Autoreg Only,0.6474481271828633,0.030806388385580707,,,0.6022359401447688,0.039447939703851236,0.09699498344265836,0.025289709964423528
dili,Barlow Closed (Text),0.735221548336092,0.027989918464467668,,,0.6790144129088305,0.0390461952931758,0.17377345620672005,0.02877826876447328
dili,CLAMP,0.7456126441778131,0.02818366479849576,,,0.6852352929875245,0.03822060545967706,0.179994336285414,0.028353200048004467
dili,Grande Closed (Text),0.7401230619940143,0.02824795067492822,,,0.682748457982035,0.03866395097434418,0.1775075012799245,0.02912909032059745
dili,coati2,0.7691554657397155,0.027272579687078802,,,0.7106882964562931,0.03832544498227724,0.20544733975418264,0.02991145282566643
half_life_obach,Barlow Closed (Text),,,,0.14855391053273864,,,,
half_life_obach,CLAMP,,,,0.15191444446388563,,,,
half_life_obach,Grande Closed (Text),,,,0.2422319886471295,,,,
half_life_obach,coati2,,,,0.1711603716406152,,,,
herg,Autoreg Only,0.6020170968209794,0.02991350046261852,,,0.7391048596463986,0.02732373388260077,0.04903109947532327,0.0156677664969378
herg,Barlow Closed (Text),0.7414551061650902,0.027459712019140804,,,0.817173299143039,0.02395908371243572,0.1270995389719637,0.01837217575791878
